,lat,lon,mask
263,-90.0,328.75,False
264,-90.0,330.0,False
265,-90.0,331.25,False
266,-90.0,332.5,False
267,-90.0,333.75,False
268,-90.0,335.0,False
269,-90.0,336.25,False
270,-90.0,337.5,False
271,-90.0,338.75,False
272,-90.0,340.0,False
273,-90.0,341.25,False
274,-90.0,342.5,False
275,-90.0,343.75,False
276,-90.0,345.0,False
277,-90.0,346.25,False
278,-90.0,347.5,False
279,-90.0,348.75,False
280,-90.0,350.0,False
281,-90.0,351.25,False
282,-90.0,352.5,False
283,-90.0,353.75,False
284,-90.0,355.0,False
285,-90.0,356.25,False
286,-90.0,357.5,False
287,-90.0,358.75,False
288,-89.0575942993164,0.0,False
289,-89.0575942993164,1.25,False
290,-89.0575942993164,2.5,False
291,-89.0575942993164,3.75,False
292,-89.0575942993164,5.0,False
293,-89.0575942993164,6.25,False
294,-89.0575942993164,7.5,False
295,-89.0575942993164,8.75,False
296,-89.0575942993164,10.0,False
297,-89.0575942993164,11.25,False
298,-89.0575942993164,12.5,False
299,-89.0575942993164,13.75,False
300,-89.0575942993164,15.0,False
301,-89.0575942993164,16.25,False
302,-89.0575942993164,17.5,False
303,-89.0575942993164,18.75,False
304,-89.0575942993164,20.0,False
305,-89.0575942993164,21.25,False
306,-89.0575942993164,22.5,False
307,-89.0575942993164,23.75,False
308,-89.0575942993164,25.0,False
309,-89.0575942993164,26.25,False
310,-89.0575942993164,27.5,False
311,-89.0575942993164,28.75,False
312,-89.0575942993164,30.0,False
313,-89.0575942993164,31.25,False
314,-89.0575942993164,32.5,False
315,-89.0575942993164,33.75,False
316,-89.0575942993164,35.0,False
317,-89.0575942993164,36.25,False
318,-89.0575942993164,37.5,False
319,-89.0575942993164,38.75,False
320,-89.0575942993164,40.0,False
321,-89.0575942993164,41.25,False
322,-89.0575942993164,42.5,False
323,-89.0575942993164,43.75,False
324,-89.0575942993164,45.0,False
325,-89.0575942993164,46.25,False
326,-89.0575942993164,47.5,False
327,-89.0575942993164,48.75,False
328,-89.0575942993164,50.0,False
329,-89.0575942993164,51.25,False
330,-89.0575942993164,52.5,False
331,-89.0575942993164,53.75,False
332,-89.0575942993164,55.0,False
333,-89.0575942993164,56.25,False
334,-89.0575942993164,57.5,False
335,-89.0575942993164,58.75,False
336,-89.0575942993164,60.0,False
337,-89.0575942993164,61.25,False
338,-89.0575942993164,62.5,False
339,-89.0575942993164,63.75,False
340,-89.0575942993164,65.0,False
341,-89.0575942993164,66.25,False
342,-89.0575942993164,67.5,False
343,-89.0575942993164,68.75,False
344,-89.0575942993164,70.0,False
345,-89.0575942993164,71.25,False
346,-89.0575942993164,72.5,False
347,-89.0575942993164,73.75,False
348,-89.0575942993164,75.0,False
349,-89.0575942993164,76.25,False
350,-89.0575942993164,77.5,False
351,-89.0575942993164,78.75,False
352,-89.0575942993164,80.0,False
353,-89.0575942993164,81.25,False
354,-89.0575942993164,82.5,False
355,-89.0575942993164,83.75,False
356,-89.0575942993164,85.0,False
357,-89.0575942993164,86.25,False
358,-89.0575942993164,87.5,False
359,-89.0575942993164,88.75,False
360,-89.0575942993164,90.0,False
361,-89.0575942993164,91.25,False
362,-89.0575942993164,92.5,False
363,-89.0575942993164,93.75,False
364,-89.0575942993164,95.0,False
365,-89.0575942993164,96.25,False
366,-89.0575942993164,97.5,False
367,-89.0575942993164,98.75,False
368,-89.0575942993164,100.0,False
369,-89.0575942993164,101.25,False
370,-89.0575942993164,102.5,False
371,-89.0575942993164,103.75,False
372,-89.0575942993164,105.0,False
373,-89.0575942993164,106.25,False
374,-89.0575942993164,107.5,False
375,-89.0575942993164,108.75,False
376,-89.0575942993164,110.0,False
377,-89.0575942993164,111.25,False
378,-89.0575942993164,112.5,False
379,-89.0575942993164,113.75,False
380,-89.0575942993164,115.0,False
381,-89.0575942993164,116.25,False
382,-89.0575942993164,117.5,False
383,-89.0575942993164,118.75,False
384,-89.0575942993164,120.0,False
385,-89.0575942993164,121.25,False
386,-89.0575942993164,122.5,False
387,-89.0575942993164,123.75,False
388,-89.0575942993164,125.0,False
389,-89.0575942993164,126.25,False
390,-89.0575942993164,127.5,False
391,-89.0575942993164,128.75,False
392,-89.0575942993164,130.0,False
393,-89.0575942993164,131.25,False
394,-89.0575942993164,132.5,False
395,-89.0575942993164,133.75,False
396,-89.0575942993164,135.0,False
397,-89.0575942993164,136.25,False
398,-89.0575942993164,137.5,False
399,-89.0575942993164,138.75,False
400,-89.0575942993164,140.0,False
401,-89.0575942993164,141.25,False
402,-89.0575942993164,142.5,False
403,-89.0575942993164,143.75,False
404,-89.0575942993164,145.0,False
405,-89.0575942993164,146.25,False
406,-89.0575942993164,147.5,False
407,-89.0575942993164,148.75,False
408,-89.0575942993164,150.0,False
409,-89.0575942993164,151.25,False
410,-89.0575942993164,152.5,False
411,-89.0575942993164,153.75,False
412,-89.0575942993164,155.0,False
413,-89.0575942993164,156.25,False
414,-89.0575942993164,157.5,False
415,-89.0575942993164,158.75,False
416,-89.0575942993164,160.0,False
417,-89.0575942993164,161.25,False
418,-89.0575942993164,162.5,False
419,-89.0575942993164,163.75,False
420,-89.0575942993164,165.0,False
421,-89.0575942993164,166.25,False
422,-89.0575942993164,167.5,False
423,-89.0575942993164,168.75,False
424,-89.0575942993164,170.0,False
425,-89.0575942993164,171.25,False
426,-89.0575942993164,172.5,False
427,-89.0575942993164,173.75,False
428,-89.0575942993164,175.0,False
429,-89.0575942993164,176.25,False
430,-89.0575942993164,177.5,False
431,-89.0575942993164,178.75,False
432,-89.0575942993164,180.0,False
433,-89.0575942993164,181.25,False
434,-89.0575942993164,182.5,False
435,-89.0575942993164,183.75,False
436,-89.0575942993164,185.0,False
437,-89.0575942993164,186.25,False
438,-89.0575942993164,187.5,False
439,-89.0575942993164,188.75,False
440,-89.0575942993164,190.0,False
441,-89.0575942993164,191.25,False
442,-89.0575942993164,192.5,False
443,-89.0575942993164,193.75,False
444,-89.0575942993164,195.0,False
445,-89.0575942993164,196.25,False
446,-89.0575942993164,197.5,False
447,-89.0575942993164,198.75,False
448,-89.0575942993164,200.0,False
449,-89.0575942993164,201.25,False
450,-89.0575942993164,202.5,False
451,-89.0575942993164,203.75,False
452,-89.0575942993164,205.0,False
453,-89.0575942993164,206.25,False
454,-89.0575942993164,207.5,False
455,-89.0575942993164,208.75,False
456,-89.0575942993164,210.0,False
457,-89.0575942993164,211.25,False
458,-89.0575942993164,212.5,False
459,-89.0575942993164,213.75,False
460,-89.0575942993164,215.0,False
461,-89.0575942993164,216.25,False
462,-89.0575942993164,217.5,False
463,-89.0575942993164,218.75,False
464,-89.0575942993164,220.0,False
465,-89.0575942993164,221.25,False
466,-89.0575942993164,222.5,False
467,-89.0575942993164,223.75,False
468,-89.0575942993164,225.0,False
469,-89.0575942993164,226.25,False
470,-89.0575942993164,227.5,False
471,-89.0575942993164,228.75,False
472,-89.0575942993164,230.0,False
473,-89.0575942993164,231.25,False
474,-89.0575942993164,232.5,False
475,-89.0575942993164,233.75,False
476,-89.0575942993164,235.0,False
477,-89.0575942993164,236.25,False
478,-89.0575942993164,237.5,False
479,-89.0575942993164,238.75,False
480,-89.0575942993164,240.0,False
481,-89.0575942993164,241.25,False
482,-89.0575942993164,242.5,False
483,-89.0575942993164,243.75,False
484,-89.0575942993164,245.0,False
485,-89.0575942993164,246.25,False
486,-89.0575942993164,247.5,False
487,-89.0575942993164,248.75,False
488,-89.0575942993164,250.0,False
489,-89.0575942993164,251.25,False
490,-89.0575942993164,252.5,False
491,-89.0575942993164,253.75,False
492,-89.0575942993164,255.0,False
493,-89.0575942993164,256.25,False
494,-89.0575942993164,257.5,False
495,-89.0575942993164,258.75,False
496,-89.0575942993164,260.0,False
497,-89.0575942993164,261.25,False
498,-89.0575942993164,262.5,False
499,-89.0575942993164,263.75,False
500,-89.0575942993164,265.0,False
501,-89.0575942993164,266.25,False
502,-89.0575942993164,267.5,False
503,-89.0575942993164,268.75,False
504,-89.0575942993164,270.0,False
505,-89.0575942993164,271.25,False
506,-89.0575942993164,272.5,False
507,-89.0575942993164,273.75,False
508,-89.0575942993164,275.0,False
509,-89.0575942993164,276.25,False
510,-89.0575942993164,277.5,False
511,-89.0575942993164,278.75,False
512,-89.0575942993164,280.0,False
513,-89.0575942993164,281.25,False
514,-89.0575942993164,282.5,False
515,-89.0575942993164,283.75,False
516,-89.0575942993164,285.0,False
517,-89.0575942993164,286.25,False
518,-89.0575942993164,287.5,False
519,-89.0575942993164,288.75,False
520,-89.0575942993164,290.0,False
521,-89.0575942993164,291.25,False
522,-89.0575942993164,292.5,False
523,-89.0575942993164,293.75,False
524,-89.0575942993164,295.0,False
525,-89.0575942993164,296.25,False
526,-89.0575942993164,297.5,False
527,-89.0575942993164,298.75,False
528,-89.0575942993164,300.0,False
529,-89.0575942993164,301.25,False
530,-89.0575942993164,302.5,False
531,-89.0575942993164,303.75,False
532,-89.0575942993164,305.0,False
533,-89.0575942993164,306.25,False
534,-89.0575942993164,307.5,False
535,-89.0575942993164,308.75,False
536,-89.0575942993164,310.0,False
537,-89.0575942993164,311.25,False
538,-89.0575942993164,312.5,False
539,-89.0575942993164,313.75,False
540,-89.0575942993164,315.0,False
541,-89.0575942993164,316.25,False
542,-89.0575942993164,317.5,False
543,-89.0575942993164,318.75,False
544,-89.0575942993164,320.0,False
545,-89.0575942993164,321.25,False
546,-89.0575942993164,322.5,False
547,-89.0575942993164,323.75,False
548,-89.0575942993164,325.0,False
549,-89.0575942993164,326.25,False
550,-89.0575942993164,327.5,False
551,-89.0575942993164,328.75,False
552,-89.0575942993164,330.0,False
553,-89.0575942993164,331.25,False
554,-89.0575942993164,332.5,False
555,-89.0575942993164,333.75,False
556,-89.0575942993164,335.0,False
557,-89.0575942993164,336.25,False
558,-89.0575942993164,337.5,False
559,-89.0575942993164,338.75,False
560,-89.0575942993164,340.0,False
561,-89.0575942993164,341.25,False
562,-89.0575942993164,342.5,False
563,-89.0575942993164,343.75,False
564,-89.0575942993164,345.0,False
565,-89.0575942993164,346.25,False
566,-89.0575942993164,347.5,False
567,-89.0575942993164,348.75,False
568,-89.0575942993164,350.0,False
569,-89.0575942993164,351.25,False
570,-89.0575942993164,352.5,False
571,-89.0575942993164,353.75,False
572,-89.0575942993164,355.0,False
573,-89.0575942993164,356.25,False
574,-89.0575942993164,357.5,False
575,-89.0575942993164,358.75,False
576,-88.1151809692383,0.0,False
577,-88.1151809692383,1.25,False
578,-88.1151809692383,2.5,False
579,-88.1151809692383,3.75,False
580,-88.1151809692383,5.0,False
581,-88.1151809692383,6.25,False
582,-88.1151809692383,7.5,False
583,-88.1151809692383,8.75,False
584,-88.1151809692383,10.0,False
585,-88.1151809692383,11.25,False
586,-88.1151809692383,12.5,False
587,-88.1151809692383,13.75,False
588,-88.1151809692383,15.0,False
589,-88.1151809692383,16.25,False
590,-88.1151809692383,17.5,False
591,-88.1151809692383,18.75,False
592,-88.1151809692383,20.0,False
593,-88.1151809692383,21.25,False
594,-88.1151809692383,22.5,False
595,-88.1151809692383,23.75,False
596,-88.1151809692383,25.0,False
597,-88.1151809692383,26.25,False
598,-88.1151809692383,27.5,False
599,-88.1151809692383,28.75,False
600,-88.1151809692383,30.0,False
601,-88.1151809692383,31.25,False
602,-88.1151809692383,32.5,False
603,-88.1151809692383,33.75,False
604,-88.1151809692383,35.0,False
605,-88.1151809692383,36.25,False
606,-88.1151809692383,37.5,False
607,-88.1151809692383,38.75,False
608,-88.1151809692383,40.0,False
609,-88.1151809692383,41.25,False
610,-88.1151809692383,42.5,False
611,-88.1151809692383,43.75,False
612,-88.1151809692383,45.0,False
613,-88.1151809692383,46.25,False
614,-88.1151809692383,47.5,False
615,-88.1151809692383,48.75,False
616,-88.1151809692383,50.0,False
617,-88.1151809692383,51.25,False
618,-88.1151809692383,52.5,False
619,-88.1151809692383,53.75,False
620,-88.1151809692383,55.0,False
621,-88.1151809692383,56.25,False
622,-88.1151809692383,57.5,False
623,-88.1151809692383,58.75,False
624,-88.1151809692383,60.0,False
625,-88.1151809692383,61.25,False
626,-88.1151809692383,62.5,False
627,-88.1151809692383,63.75,False
628,-88.1151809692383,65.0,False
629,-88.1151809692383,66.25,False
630,-88.1151809692383,67.5,False
631,-88.1151809692383,68.75,False
632,-88.1151809692383,70.0,False
633,-88.1151809692383,71.25,False
634,-88.1151809692383,72.5,False
635,-88.1151809692383,73.75,False
